TOWN,2015/16,2014/15,2013/14,2012/13,2011/12,2010/11,2009/10,2008/09,2007/08,2006/07,2005/06,2004/05,2003/04,2002/03,2001/02,2000/01,1999/00,1998/99,1997/98,1996/97,1995/96,1994/95,1993/94,1992/93,1991/92,1990/91,1989/90,1988/89,1987/88,1986/87,1985/86,1984/85
 ANDOVER,281,257,261,318,332,335,377,395,401,406,408,444,420,457,474,474,465,432,440,437,451,408,436,465,559,462,489,507,514,507,539,584
 ANSONIA,931,899,969,939,955,986,989,1222,1127,1138,1143,1102,1139,1218,1313,1200,1100,986,782,718,614,697,800,800,799,729,683,728,755,910,1023,920
 ASHFORD,531,539,499,527,570,602,586,607,599,630,593,647,690,689,704,720,741,727,715,686,736,683,680,644,613,580,547,561,511,497,488,429
 AVON,1935,1952,1922,1918,1876,1873,1825,1776,1640,1504,1361,1298,1320,1269,1257,1187,1150,1101,1070,1071,1079,1111,1089,1132,1108,1101,1101,1137,1181,1260,1209,963
 BARKHAMSTED,605,665,640,736,522,547,547,549,547,505,512,488,530,490,508,493,488,497,492,437,443,459,465,535,454,449,404,372,357,392,371,381
 BEACON FALLS,355,364,331,332,372,349,386,380,313,469,435,514,529,460,466,365,345,337,340,324,318,338,320,341,306,277,259,275,291,320,378,342
 BERLIN,1814,1785,1882,1868,1919,2023,1831,1828,1890,2000,2034,2075,2018,1938,1976,1921,1886,1775,1630,1624,1608,1615,1766,1777,1726,1651,1695,1737,1470,1931,2196,1735
 BETHANY,554,517,522,510,568,589,564,601,601,667,663,664,659,690,684,701,665,721,689,679,692,737,730,688,705,736,692,702,779,710,820,498
 BETHEL,1231,1237,1282,1326,1334,1334,1375,1296,1249,1288,1408,1500,1589,1949,1821,1848,1914,1837,1652,1617,1320,1350,1302,1326,1127,1272,1412,1444,1479,1756,2007,1802
 BETHLEHEM,409,591,577,620,652,687,738,768,838,847,859,914,886,838,767,821,852,793,792,757,750,778,757,789,718,631,724,750,730,696,719,782
 BLOOMFIELD,773,742,761,795,790,764,805,847,850,916,984,1019,971,872,873,932,941,995,1048,1161,1084,1209,1245,1268,1342,1306,1424,1431,1556,1566,1740,1482
 BOLTON,558,554,518,537,548,557,579,564,610,572,585,607,612,610,658,643,637,640,664,640,584,632,618,621,658,515,596,559,550,608,676,243
 BOZRAH,204,235,240,234,237,147,268,265,299,253,285,268,283,288,320,313,312,323,269,271,260,247,226,277,251,252,262,259,315,301,259,330
 BRANFORD,1073,1086,1036,1023,1220,1244,1113,1110,809,754,709,714,703,718,729,747,745,710,756,670,710,711,688,800,752,818,884,982,1110,1188,1544,1386
 BRIDGEPORT,805,1000,825,834,823,801,881,1006,1082,903,1421,1534,1616,1430,1830,1942,2031,2230,2215,1215,1695,1791,1876,1911,2178,1917,2388,2722,3128,3390,4421,3680
 BRIDGEWATER,298,332,371,291,327,338,332,355,329,349,368,367,373,372,397,411,405,347,349,357,362,368,364,343,342,326,295,270,280,284,292,242
