DATE,MEHOINUSCTA646N
1984-01-01,29950
1985-01-01,31090
1986-01-01,32720
1987-01-01,32860
1988-01-01,36210
1989-01-01,42320
1990-01-01,38870
1991-01-01,42150
1992-01-01,40840
1993-01-01,39520
1994-01-01,41100
1995-01-01,40240
1996-01-01,42120
1997-01-01,43990
1998-01-01,46510
1999-01-01,50590
2000-01-01,50170
2001-01-01,53350
2002-01-01,53390
2003-01-01,54970
2004-01-01,55100
2005-01-01,56840
2006-01-01,62400
2007-01-01,64140
2008-01-01,64680
2009-01-01,64850
2010-01-01,66000
2011-01-01,65420
2012-01-01,64250
2013-01-01,69290
2014-01-01,70160
2015-01-01,72890
2016-01-01,75920
2017-01-01,74300
2018-01-01,72810
2019-01-01,87290
2020-01-01,79430
2021-01-01,80960
2022-01-01,90730
