grts_cell_id,location_name,location_geometry
12162,ald1,0101000020E6100000D908C4EBFAD55BC04FCC7A31941B4540
11105,anal,0101000020E6100000723106D671CE5DC00667F0F78B794740
8570,basp,0101000020E6100000F163CC5D4BD05DC0B0726891EDCC4440
8129,besl,0101000020E6100000E42CEC6987035FC057957D57044F4740
17745,biss,0101000020E610000000917EFB3AB45EC0E960FD9FC3AC4640
17745,biss,0101000020E61000000395F1EF33B45EC0B84082E2C7AC4640
28546,BLO1,0101000020E61000000A85083884D65BC0D1798D5DA21A4540
28546,BLO1,0101000020E610000058569A9482D65BC08ACDC7B5A11A4540
28546,blo2,0101000020E6100000037D224F92D65BC0ADDD76A1B9164540
28546,BLO2,0101000020E6100000265305A392D65BC08907944DB9164540
730,blrd,0101000020E6100000DE718A8EE4B45DC080828B1535A44540
64986,blwc,0101000020E61000004B1FBAA0BEB55DC0AB9509BFD4874540
586,boca,0101000020E61000003CBD529621525CC048E17A14AE4F4540
32074,borp,0101000020E61000001E5036E50A635CC082A8FB00A45E4540
32074,BORP,0101000020E6100000D7A3703D0A635CC0CA54C1A8A45E4540
8922,brp1,0101000020E61000000A68226C78DE5DC0BC96900F7A5E4540
8922,BRP2,0101000020E6100000228E75711BDD5DC064CC5D4BC85F4540
28546,BUN1,0101000020E61000008484285FD0D65BC0E083D72E6D124540
28546,BUN2,0101000020E6100000874ECFBBB1D55BC0399CF9D51C104540
12561,cadi,0101000020E61000007B14AE47E1525EC0EC51B81E85FB4640
20817,cama,0101000020E6100000B858518369D05EC06EC0E787117A4640
11105,cana,0101000020E6100000723106D671CE5DC00667F0F78B794740
865,cany,0101000020E610000058CA32C4B1EE5DC0F1F44A5986404740
12305,casl,0101000020E610000011C8258E3CB05EC053B131AF23E44640
12305,casl,0101000020E61000009E060C923EB05EC05419C6DD20E44640
59489,cecw,0101000020E610000040A6B5696C675DC0E59A02999D414840
14433,cecw,0101000020E6100000C6A70018CF665DC03A92CB7F483F4840
14673,chpo,0101000020E6100000FA9B508880D35EC0B43C0FEECE324640
5985,chra,0101000020E6100000F46C567DAEDE5DC088BA0F406A2F4740
11105,clif,0101000020E6100000FFB27BF2B0D05DC0601F9DBAF2794740
12561,cosd,0101000020E6100000D07EA4880C555EC05A12A0A696FD4640
11105,dam,0101000020E6100000E8F9D34675D25DC09A6038D7307D4740
730,dbcp,0101000020E6100000399CF9D51CB85DC08F8D40BCAE9B4540
730,dbcp,0101000020E610000048E17A14AEB75DC08F8D40BCAE9B4540
730,dbcp,0101000020E6100000E3A59BC420B85DC08F8D40BCAE9B4540
81788,decr,0101000020E61000007FD93D7958625DC05F950B957F114840
81788,decr,0101000020E6100000D8F0F44A59625DC044696FF085114840
4913,delt,0101000020E610000018213CDA38BA5DC054A9D903AD084740
4913,delt,0101000020E610000018213CDA38BA5DC0B3B112F3AC084740
4913,delta,0101000020E610000018213CDA38BA5DC054A9D903AD084740
12162,DIN1,0101000020E61000003F355EBA49D65BC098FBE428401E4540
12162,DIN2,0101000020E6100000B7627FD93DD55BC01A69A9BC1D1D4540
20817,duma,0101000020E61000000B98C0ADBBCF5EC0BC9179E40F7A4640
12305,eapo,0101000020E6100000F819170E84B05EC0CA89761552E24640
15834,ebvp,0101000020E61000007C2C7DE882B65DC071E6577380884540
14673,f16p,0101000020E61000005BB1BFEC9ED45EC027DA5548F9354640
32074,fiac,0101000020E61000006688635DDC625CC09D11A5BDC1574540
25722,fldo,0101000020E6100000925CFE43FAE15DC019E25817B7494540
25722,flra,0101000020E6100000A779C7293AE25DC04BEA0434114E4540
25722,flri,0101000020E6100000098A1F63EEE25DC0986E1283C04A4540
24913,foma,0101000020E61000008CD651D504C55EC0E6797077D6664640
15834,gcda,0101000020E6100000D673D2FBC6B55DC00803CFBD87834540
24913,ghpo,0101000020E6100000B75D68AED3C45EC03997E2AAB2674640
586,giff,0101000020E6100000B003E78C284D5CC0545227A089504540
730,hqmp,0101000020E6100000156F641EF9B55DC0276BD44334A24540
34753,hqpo,0101000020E610000040D9942BBCFB5EC0CD069964E4344740
5985,hrcp,0101000020E6100000C05B2041F1DB5DC01D2098A3C72F4740
5985,hrda,0101000020E61000001C08C90226DA5DC007B13385CE2F4740
29914,inec,0101000020E61000008C31B08EE3305DC048E17A14AEC74540
8570,infl,0101000020E6100000B29DEFA7C6D35DC0006F8104C5CF4440
8570,irlf,0101000020E6100000006F8104C5D35DC09D8026C286CF4440
1841,irwa,0101000020E6100000892991442FDD5DC04E7ADFF8DAF34640
