Date,Site,Region,Year,ID,WNSWinters,WNStime,Species,Sex,Weight,Forearm,BMI,Fungus,UV,Ct,logDNA,Pd,x,z,Tdmean,Tdmedian,Tdsd,Tdmin,Tdmax,Tdrange
3/4/13,3,1,2013,14,3,7,MYLU,M,6.5,37.25,0.174496644,0,4,31.42,1.986263736,1,36.3,1.7,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,22,3,7,MYLU,M,6,33.76,0.177725118,0,4,32.55,1.675824176,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,23,3,7,PESU,F,4.8,35.14,0.136596471,0,0,34.76,1.068681319,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,24,3,7,PESU,F,4.5,32.82,0.137111517,0,1,32.96,1.563186813,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,25,3,7,PESU,F,4.3,33.53,0.128243364,0,1,32.08,1.804945055,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,5,3,7,PESU,M,4.3,36.26,0.118587976,0,0,32.1,1.799450549,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,18,3,7,MYLU,M,6.2,37.58,0.164981373,0,4,34.09,1.252747253,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,2,3,7,PESU,M,8.9,34.47,0.258195532,0,1,33.2,1.497252747,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,3,3,7,PESU,F,4.6,34.7,0.132564841,0,1,31.35,2.005494505,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,10,3,7,PESU,M,4.2,35.39,0.118677593,0,1,33.19,1.5,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,9,3,7,PESU,F,4.7,36.85,0.127544098,0,0,30.5,2.239010989,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,16,3,7,MYSO,F,6.2,39.07,0.158689532,0,0,36.06,0.711538462,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,17,3,7,MYLU,M,7.1,36.95,0.192151556,0,4,32.11,1.796703297,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,4,3,7,PESU,M,4,32.14,0.124455507,0,1,33.09,1.527472527,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,6,3,7,PESU,M,4.6,35.81,0.128455739,0,0,32.19,1.774725275,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,13,3,7,PESU,F,4.8,34.26,0.140105079,0,2,34.78,1.063186813,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,11,3,7,PESU,M,4.3,33.15,0.129713424,0,0,31.39,1.994505495,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,19,3,7,MYLU,M,7.6,39.55,0.19216182,0,4,30.47,2.247252747,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,20,3,7,MYLU,M,6.5,36.13,0.179905895,0,2,31.06,2.085164835,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,15,3,7,MYLU,M,6.7,38.23,0.175255035,0,4,33.15,1.510989011,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,1,3,7,PESU,M,4.5,34.7,0.129682997,0,0,33.04,1.541208791,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,12,3,7,PESU,M,4.8,35.66,0.134604599,0,0,32.13,1.791208791,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,7,3,7,PESU,M,4,33.98,0.117716304,0,0,34.01,1.274725275,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,8,3,7,PESU,F,4.3,32.68,0.131578947,0,2,31.73,1.901098901,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,1,2013,21,3,7,PESU,F,4.3,35.19,0.122193805,0,1,30.92,2.123626374,1,NA,NA,NA,NA,NA,NA,NA,NA
3/4/13,3,2,2013,48,3,7,PESU,M,3.9,33.44,0.116626794,0,1,31.53,1.956043956,1,160.8,1.77,10.38875,10.3575,0.26579362,10.138,10.702,0.564
3/4/13,3,2,2013,41,3,7,PESU,F,4.5,34.42,0.130737943,0,0,31.03,2.093406593,1,160.8,1.32,NA,NA,NA,NA,NA,NA
3/4/13,3,2,2013,32,3,7,MYLU,M,6.4,37.42,0.171031534,0,3,31.25,2.032967033,1,159.7,2.07,10.59675,10.597,0.22034726,10.377,10.816,0.439
3/4/13,3,2,2013,30,3,7,PESU,F,4.5,35.69,0.126085738,0,1,32.17,1.78021978,1,159.7,2.07,10.59675,10.597,0.22034726,10.377,10.816,0.439
3/4/13,3,2,2013,33,3,7,MYLU,M,6.7,38.25,0.175163399,0,4,32.05,1.813186813,1,159.7,2.07,10.59675,10.597,0.22034726,10.377,10.816,0.439
3/4/13,3,2,2013,36,3,7,PESU,F,4.9,33.21,0.14754592,0,2,30.45,2.252747253,1,157.9,2.25,NA,NA,NA,NA,NA,NA
3/4/13,3,2,2013,50,3,7,PESU,F,5.6,35.69,0.156906697,0,1,36.76,0.519230769,1,157.9,1.29,NA,NA,NA,NA,NA,NA
