Date,Site,Logger,WNStime,Season,WNSWinters,Ct,Pd,Type,slope,intercept,logDNA,x,z,Tmean,Tmedian,Tsd,Tmin,Tmax,Trange
8/7/12,1,101,0,Summer,0,0,0,swab,-3.541,38.206,0,35.5,1.46,NA,NA,NA,NA,NA,NA
8/7/12,1,102,0,Summer,0,0,0,swab,-3.541,38.206,0,36.5,3.04,NA,NA,NA,NA,NA,NA
8/7/12,1,103,0,Summer,0,0,0,swab,-3.541,38.206,0,37.5,1.67,9.191,9.191,0,9.191,9.191,0
8/7/12,1,104,0,Summer,0,0,0,swab,-3.541,38.206,0,38.5,2.94,NA,NA,NA,NA,NA,NA
8/7/12,1,105,0,Summer,0,0,0,swab,-3.541,38.206,0,39.5,1.95,NA,NA,NA,NA,NA,NA
8/7/12,1,106,0,Summer,0,0,0,swab,-3.541,38.206,0,40.5,2.92,NA,NA,NA,NA,NA,NA
8/7/12,1,107,0,Summer,0,0,0,swab,-3.541,38.206,0,41.5,0.89,9.189,9.189,0,9.189,9.189,0
8/7/12,1,108,0,Summer,0,0,0,swab,-3.541,38.206,0,42.5,2.48,9.246,9.246,0,9.246,9.246,0
8/7/12,1,109,0,Summer,0,0,0,swab,-3.541,38.206,0,43.5,1.1,NA,NA,NA,NA,NA,NA
8/7/12,1,110,0,Summer,0,0,0,swab,-3.541,38.206,0,35.5,1.3,9.26666667,9.246,0.03579572,9.246,9.308,0.062
8/7/12,1,111,0,Summer,0,0,0,swab,-3.541,38.206,0,36.5,0.96,9.129,9.129,0,9.129,9.129,0
8/7/12,1,112,0,Summer,0,0,0,swab,-3.541,38.206,0,37.5,0.92,NA,NA,NA,NA,NA,NA
8/7/12,1,113,0,Summer,0,0,0,swab,-3.541,38.206,0,38.5,0.85,9.295,9.274,0.03637307,9.274,9.337,0.063
8/7/12,1,114,0,Summer,0,0,0,swab,-3.541,38.206,0,39.5,1.1,NA,NA,NA,NA,NA,NA
8/7/12,1,115,0,Summer,0,0,0,swab,-3.541,38.206,0,40.5,2.15,NA,NA,NA,NA,NA,NA
8/7/12,1,116,0,Summer,0,0,0,swab,-3.234,36.902,0,41.5,2.32,NA,NA,NA,NA,NA,NA
8/7/12,1,117,0,Summer,0,0,0,swab,-3.234,36.902,0,42.5,2.1,NA,NA,NA,NA,NA,NA
8/7/12,1,118,0,Summer,0,0,0,swab,-3.234,36.902,0,43.5,2.31,9.36166667,9.32,0.07216878,9.32,9.445,0.125
