species,region,quantity,year,mean,lower,upper,region_type
EPFU,Range,psi_bar_t,2016,0.5229,0.4814,0.5635,range
EPFU,Range,psi_bar_t,2017,0.5906,0.5550,0.6256,range
EPFU,Range,psi_bar_t,2018,0.5434,0.5093,0.5777,range
EPFU,Range,psi_bar_t,2019,0.5358,0.5001,0.5722,range
EPFU,Range,delta_bar_t,2017,0.1313,0.0283,0.2481,range
EPFU,Range,delta_bar_t,2018,-0.0792,-0.1561,0.0010,range
EPFU,Range,delta_bar_t,2019,-0.0128,-0.1097,0.0826,range
EPFU,Range,delta_avg_3year,NA,0.0131,-0.0223,0.0512,range
EPFU,Range,delta_tot_3year,NA,0.0262,-0.0737,0.1369,range
EPFU,Colorado,psi_bar_t,2016,0.5037,0.4212,0.5859,admin1
EPFU,Colorado,psi_bar_t,2017,0.6414,0.5598,0.7208,admin1
EPFU,Colorado,psi_bar_t,2018,0.6495,0.5528,0.7319,admin1
EPFU,Colorado,psi_bar_t,2019,0.6802,0.5954,0.7545,admin1
EPFU,Colorado,delta_bar_t,2017,0.2825,0.0342,0.5718,admin1
EPFU,Colorado,delta_bar_t,2018,0.0166,-0.1744,0.2144,admin1
EPFU,Colorado,delta_bar_t,2019,0.0528,-0.1240,0.2774,admin1
EPFU,Colorado,delta_avg_3year,NA,0.1173,0.0410,0.2051,admin1
EPFU,Colorado,delta_tot_3year,NA,0.3603,0.1075,0.6610,admin1
EPFU,Montana,psi_bar_t,2016,0.6127,0.5128,0.7046,admin1
EPFU,Montana,psi_bar_t,2017,0.6602,0.5593,0.7451,admin1
EPFU,Montana,psi_bar_t,2018,0.4953,0.3868,0.6151,admin1
EPFU,Montana,psi_bar_t,2019,0.5087,0.3795,0.6743,admin1
EPFU,Montana,delta_bar_t,2017,0.0844,-0.1317,0.3367,admin1
EPFU,Montana,delta_bar_t,2018,-0.2460,-0.4347,-0.0137,admin1
EPFU,Montana,delta_bar_t,2019,0.0411,-0.2757,0.4724,admin1
EPFU,Montana,delta_avg_3year,NA,-0.0402,-0.1480,0.0940,admin1
EPFU,Montana,delta_tot_3year,NA,-0.1639,-0.4064,0.1582,admin1
EPFU,Kansas,psi_bar_t,2016,0.5631,0.4163,0.7160,admin1
EPFU,Kansas,psi_bar_t,2017,0.6824,0.5274,0.8148,admin1
EPFU,Kansas,psi_bar_t,2018,0.6203,0.4237,0.7694,admin1
EPFU,Kansas,psi_bar_t,2019,0.6593,0.5378,0.7669,admin1
EPFU,Kansas,delta_bar_t,2017,0.2352,-0.1325,0.7144,admin1
EPFU,Kansas,delta_bar_t,2018,-0.0798,-0.3936,0.2795,admin1
EPFU,Kansas,delta_bar_t,2019,0.0864,-0.2068,0.5663,admin1
EPFU,Kansas,delta_avg_3year,NA,0.0806,-0.0388,0.2411,admin1
EPFU,Kansas,delta_tot_3year,NA,0.1941,-0.1275,0.6302,admin1
EPFU,Arkansas,psi_bar_t,2016,0.4430,0.3584,0.5298,admin1
EPFU,Arkansas,psi_bar_t,2017,0.4928,0.4204,0.5662,admin1
EPFU,Arkansas,psi_bar_t,2018,0.5102,0.4432,0.5774,admin1
EPFU,Arkansas,psi_bar_t,2019,0.4434,0.3554,0.5284,admin1
EPFU,Arkansas,delta_bar_t,2017,0.1241,-0.1215,0.4765,admin1
EPFU,Arkansas,delta_bar_t,2018,0.0413,-0.1561,0.2530,admin1
EPFU,Arkansas,delta_bar_t,2019,-0.1266,-0.3176,0.1046,admin1
